film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q685817,Преследование,Лондон,48500
http://www.wikidata.org/entity/Q1168478,Безбрежное Саргассово море,Ямайка,45306
http://www.wikidata.org/entity/Q2893302,Цена красоты,Австралия,56101
http://www.wikidata.org/entity/Q3367212,Pas très normales activités,Soisy-sur-École,51577
http://www.wikidata.org/entity/Q4959480,Breakfast in Paris,Париж,42000
http://www.wikidata.org/entity/Q6382675,Keechaka Vadham,Южная Индия,50000
http://www.wikidata.org/entity/Q7757326,The Place at the Coast,Австралия,57400
http://www.wikidata.org/entity/Q18157191,Бобры-зомби,Калифорния,54985
http://www.wikidata.org/entity/Q20649989,Слишком поздно,Лос-Анджелес,60000
http://www.wikidata.org/entity/Q104646669,Царица небесная,Тбилиси,54966
http://www.wikidata.org/entity/Q104646669,Царица небесная,Рустави,54966
http://www.wikidata.org/entity/Q104646669,Царица небесная,Вазиани,54966
http://www.wikidata.org/entity/Q111549435,Smoking Causes Coughing,Юзес,41062
http://www.wikidata.org/entity/Q135765136,Mads,Мюлуз,49816
http://www.wikidata.org/entity/Q490588,Неуместный человек,Исландия,30972
http://www.wikidata.org/entity/Q876284,В одно ухо влетело,Нью-Джерси,23719
http://www.wikidata.org/entity/Q4141403,Несносный Генри,Торонто,20183
http://www.wikidata.org/entity/Q4141403,Несносный Генри,Гамильтон,20183
http://www.wikidata.org/entity/Q4204793,Трудно быть богом,Замок Хуквальды,28608
http://www.wikidata.org/entity/Q5098635,Chile: When Will It End?,Чили,25100
http://www.wikidata.org/entity/Q5141012,Coffin Rock,Австралия,31312
http://www.wikidata.org/entity/Q6477009,Озеро Мунго,Арарат (Австралия),29850
http://www.wikidata.org/entity/Q6477009,Озеро Мунго,Милдьюра,29850
http://www.wikidata.org/entity/Q7801402,Tiger Eyes,Нью-Мексико,27160
http://www.wikidata.org/entity/Q12261286,Por la borda,Гипускоа,22107.93
http://www.wikidata.org/entity/Q21998244,Тео и Юго в одной лодке,Париж,34994.19
http://www.wikidata.org/entity/Q29832008,Marlina the Murderer in Four Acts,Индонезия,23564
http://www.wikidata.org/entity/Q57502054,Al Berto,Алентежу,23099.33
http://www.wikidata.org/entity/Q57502054,Al Berto,Сетубал,23099.33
http://www.wikidata.org/entity/Q57502054,Al Berto,Синиш,23099.33
http://www.wikidata.org/entity/Q115685233,The Land of Ahimsa,Индия,27662
http://www.wikidata.org/entity/Q132048423,The Taverna,Elsternwick,21695
http://www.wikidata.org/entity/Q533383,Комната,Сан-Франциско,1800
http://www.wikidata.org/entity/Q533383,Комната,Лос-Анджелес,1800
http://www.wikidata.org/entity/Q1139236,Глаз,Нью-Мексико,56.964
http://www.wikidata.org/entity/Q1455276,Без вести пропавшие,Филиппины,22.812
http://www.wikidata.org/entity/Q3099419,Paradise Found,Чехия,4590
http://www.wikidata.org/entity/Q7676075,Tail of a Tiger,Сидней,3566
http://www.wikidata.org/entity/Q7906333,З/Л/О 2,Новая Шотландия,795.661
http://www.wikidata.org/entity/Q12387161,Doentes,Галисия,5098.6
http://www.wikidata.org/entity/Q12401272,Tralas Luces,Галисия,4437.1
http://www.wikidata.org/entity/Q14953721,Версальский роман,Лондон,10.084
http://www.wikidata.org/entity/Q14953721,Версальский роман,Pinewood Studios,10.084
http://www.wikidata.org/entity/Q16517124,Q16517124,Бастан,4267.04
http://www.wikidata.org/entity/Q16517124,Q16517124,Субьета,4267.04
http://www.wikidata.org/entity/Q111893449,They Carry Death,Тенерифе,4038.77
http://www.wikidata.org/entity/Q111893449,They Carry Death,Оренсе,4038.77
http://www.wikidata.org/entity/Q115427264,The Hidden,Ванкувер,3000
http://www.wikidata.org/entity/Q427186,Рокко и его братья,Милан,11328
http://www.wikidata.org/entity/Q427186,Рокко и его братья,Виале Блиньи,11328
http://www.wikidata.org/entity/Q427186,Рокко и его братья,Teatro Principe,11328
http://www.wikidata.org/entity/Q466354,Шоколад,Таиланд,14845
http://www.wikidata.org/entity/Q488169,Воспоминания об убийстве,Республика Корея,15357
http://www.wikidata.org/entity/Q490588,Неуместный человек,Исландия,7986
http://www.wikidata.org/entity/Q490588,Неуместный человек,Исландия,8865
http://www.wikidata.org/entity/Q490588,Неуместный человек,Исландия,13206
http://www.wikidata.org/entity/Q1783930,Треугольник,Австралия,11282
http://www.wikidata.org/entity/Q3986793,The End of the Road,Остров Рузвельта,9000
http://www.wikidata.org/entity/Q6078224,Isabelle Eberhardt,Женева,14323
http://www.wikidata.org/entity/Q6078224,Isabelle Eberhardt,Париж,14323
http://www.wikidata.org/entity/Q12384500,Blanca Madison,Галисия,7994.8
http://www.wikidata.org/entity/Q18157191,Бобры-зомби,Калифорния,14947
http://www.wikidata.org/entity/Q63068747,"¡Ay, Mi Madre!",Барбате,12009
http://www.wikidata.org/entity/Q64390886,Война,Комо,11540
http://www.wikidata.org/entity/Q64390886,Война,Мольтразио,11540
